date,open,close,high,low,vol,ret_1d,ret_5d,ret_20d,rsi_14,macd,macd_signal,macd_hist,vol_20d,vol_sma_5,vol_ratio
2024-01-30,0.758,0.742,0.764,0.739,52519400.0,-0.0262,-0.0725,-0.1765,32.8829,-0.028,-0.0238,-0.0042,0.3317,90658852.2,0.5793
2024-01-31,0.742,0.718,0.745,0.718,60318800.0,-0.0323,-0.1036,-0.1841,25.1082,-0.0322,-0.0255,-0.0067,0.3382,86928872.2,0.6939
2024-02-01,0.71,0.739,0.753,0.709,88154900.0,0.0292,-0.1021,-0.1476,33.3333,-0.0334,-0.0271,-0.0063,0.3648,86754332.2,1.0161
2024-02-02,0.736,0.716,0.748,0.694,90015300.0,-0.0311,-0.1028,-0.1576,30.1158,-0.0358,-0.0288,-0.007,0.372,86592600.0,1.0395
2024-02-05,0.712,0.715,0.732,0.678,114558300.0,-0.0014,-0.0617,-0.1344,30.3502,-0.0374,-0.0305,-0.0068,0.3651,81113340.0,1.4123
2024-02-06,0.708,0.762,0.764,0.701,131387200.0,0.0657,0.027,-0.083,44.6429,-0.0344,-0.0313,-0.0031,0.4458,96886900.0,1.3561
2024-02-07,0.763,0.778,0.785,0.759,93236500.0,0.021,0.0836,-0.0489,43.2234,-0.0305,-0.0312,0.0007,0.452,103470440.0,0.9011
2024-02-08,0.785,0.804,0.821,0.784,96265900.0,0.0334,0.088,-0.0348,48.4848,-0.0249,-0.0299,0.005,0.464,105092640.0,0.916
2024-02-19,0.815,0.837,0.838,0.809,122030422.0,0.041,0.169,0.0232,57.8431,-0.0177,-0.0275,0.0098,0.4829,111495664.4,1.0945
2024-02-20,0.83,0.833,0.838,0.819,70943288.0,-0.0048,0.165,0.0171,55.5184,-0.0121,-0.0244,0.0123,0.4834,102772662.0,0.6903
2024-02-21,0.828,0.825,0.842,0.815,68776922.0,-0.0096,0.0827,0.011,53.9216,-0.0082,-0.0212,0.0129,0.4847,90250606.4,0.7621
2024-02-22,0.834,0.843,0.847,0.827,68275200.0,0.0218,0.0835,0.0644,53.3113,-0.0037,-0.0177,0.014,0.4761,85258346.4,0.8008
2024-02-23,0.849,0.846,0.854,0.836,64852600.0,0.0036,0.0522,0.038,58.5714,0.0002,-0.0141,0.0143,0.4665,78975686.4,0.8212
2024-02-26,0.843,0.85,0.859,0.837,66463500.0,0.0047,0.0155,0.0455,67.7419,0.0035,-0.0106,0.0141,0.4663,67862302.0,0.9794
2024-02-27,0.849,0.903,0.904,0.843,117946000.0,0.0624,0.084,0.1445,78.6477,0.0103,-0.0064,0.0167,0.4954,77262844.4,1.5266
2024-02-28,0.904,0.855,0.91,0.854,106332800.0,-0.0532,0.0364,0.0687,72.459,0.0117,-0.0028,0.0145,0.5387,84774020.0,1.2543
2024-02-29,0.854,0.894,0.895,0.853,73550900.0,0.0456,0.0605,0.1161,73.9938,0.0157,0.0009,0.0148,0.5585,85829160.0,0.8569
2024-03-01,0.9,0.929,0.932,0.898,173194200.0,0.0391,0.0981,0.1288,81.791,0.0215,0.005,0.0165,0.5659,107497480.0,1.6111
2024-03-04,0.938,0.946,0.954,0.92,156554491.0,0.0183,0.1129,0.1855,82.906,0.0272,0.0095,0.0177,0.5498,125515678.2,1.2473
2024-03-05,0.935,0.937,0.962,0.925,129721591.0,-0.0095,0.0377,0.2297,77.9553,0.0306,0.0137,0.0169,0.5167,127870796.4,1.0145
2024-03-06,0.927,0.933,0.945,0.917,104125791.0,-0.0043,0.0912,0.2574,75.7475,0.0326,0.0175,0.0151,0.5014,127429394.6,0.8171
2024-03-07,0.936,0.915,0.949,0.914,89622191.0,-0.0193,0.0235,0.2744,68.942,0.0323,0.0204,0.0119,0.4881,130643652.8,0.686
2024-03-08,0.921,0.954,0.955,0.916,139097647.0,0.0426,0.0269,0.2909,69.5652,0.0349,0.0233,0.0116,0.4964,123824342.2,1.1233
2024-03-11,0.94,0.959,0.959,0.926,96058300.0,0.0052,0.0137,0.3394,71.0,0.0369,0.026,0.0108,0.4692,111725104.0,0.8598
2024-03-12,0.95,0.951,0.968,0.941,83109787.0,-0.0083,0.0149,0.3301,71.0,0.0374,0.0283,0.0091,0.4731,102402743.2,0.8116
2024-03-13,0.965,0.95,0.974,0.949,105824547.0,-0.0011,0.0182,0.2467,68.9046,0.0373,0.0301,0.0072,0.4356,102742494.4,1.03
2024-03-14,0.938,0.943,0.951,0.928,105446300.0,-0.0074,0.0306,0.2121,66.899,0.0362,0.0313,0.0049,0.439,105907316.2,0.9956
2024-03-15,0.931,0.96,0.963,0.93,93544167.0,0.018,0.0063,0.194,68.3333,0.0363,0.0323,0.004,0.4314,96796620.2,0.9664
2024-03-18,0.962,0.985,0.985,0.962,91436248.0,0.026,0.0271,0.1768,65.0735,0.038,0.0335,0.0045,0.4199,95872209.8,0.9537
2024-03-19,0.983,0.986,0.999,0.973,97926100.0,0.001,0.0368,0.1837,79.1111,0.0389,0.0346,0.0044,0.418,98835472.4,0.9908
2024-03-20,0.982,0.984,0.997,0.973,77746500.0,-0.002,0.0358,0.1927,73.9362,0.0391,0.0355,0.0036,0.4144,93219863.0,0.834
2024-03-21,0.985,0.974,0.995,0.972,66188460.0,-0.0102,0.0329,0.1554,63.8037,0.038,0.036,0.002,0.417,85368295.0,0.7753
2024-03-22,0.974,0.973,0.984,0.959,93668360.0,-0.001,0.0135,0.1501,59.1837,0.0366,0.0361,0.0005,0.4179,85393133.6,1.0969
2024-03-25,0.966,0.944,0.972,0.942,67913560.0,-0.0298,-0.0416,0.1106,52.0958,0.0327,0.0354,-0.0027,0.4383,80688596.0,0.8417
2024-03-26,0.943,0.933,0.959,0.926,85843721.0,-0.0117,-0.0538,0.0332,50.0,0.0285,0.034,-0.0055,0.3869,78272120.2,1.0967
2024-03-27,0.93,0.896,0.932,0.895,86579200.0,-0.0397,-0.0894,0.048,45.0777,0.0219,0.0316,-0.0097,0.3637,80038660.2,1.0817
2024-03-28,0.895,0.922,0.934,0.894,116708651.0,0.029,-0.0534,0.0313,41.1111,0.0185,0.029,-0.0105,0.3418,90142698.4,1.2947
2024-03-29,0.92,0.926,0.927,0.902,82960391.0,0.0043,-0.0483,-0.0032,40.7821,0.016,0.0264,-0.0104,0.3123,88001104.6,0.9427
2024-04-01,0.93,0.945,0.946,0.926,80371400.0,0.0205,0.0011,-0.0011,48.4211,0.0154,0.0242,-0.0088,0.3142,90492672.6,0.8882
2024-04-02,0.944,0.928,0.945,0.921,68937791.0,-0.018,-0.0054,-0.0096,44.6602,0.0133,0.022,-0.0087,0.319,87111486.6,0.7914
2024-04-03,0.928,0.91,0.928,0.904,55824137.0,-0.0194,0.0156,-0.0247,42.3963,0.0102,0.0196,-0.0095,0.326,80960474.0,0.6895
2024-04-08,0.907,0.906,0.918,0.903,49826800.0,-0.0044,-0.0174,-0.0098,36.7647,0.0072,0.0172,-0.0099,0.3191,67584103.8,0.7373
2024-04-09,0.906,0.905,0.91,0.893,63601742.0,-0.0011,-0.0227,-0.0514,27.7778,0.0048,0.0147,-0.0099,0.2759,63712374.0,0.9983
2024-04-10,0.902,0.879,0.907,0.873,74904300.0,-0.0287,-0.0698,-0.0834,23.9024,0.0007,0.0119,-0.0112,0.2893,62618954.0,1.1962
2024-04-11,0.877,0.881,0.895,0.877,64332300.0,0.0023,-0.0506,-0.0736,24.878,-0.0023,0.0091,-0.0114,0.2898,61697855.8,1.0427
2024-04-12,0.883,0.899,0.917,0.883,83593300.0,0.0204,-0.0121,-0.0537,32.3944,-0.0032,0.0066,-0.0098,0.3021,67251688.4,1.243
2024-04-15,0.898,0.902,0.91,0.89,60763400.0,0.0033,-0.0044,-0.0435,33.4884,-0.0036,0.0046,-0.0082,0.3022,69439008.4,0.8751
2024-04-16,0.904,0.874,0.904,0.871,78454934.0,-0.031,-0.0343,-0.0896,33.6449,-0.0062,0.0024,-0.0086,0.3091,72409646.8,1.0835
2024-04-17,0.883,0.906,0.908,0.879,75352334.0,0.0366,0.0307,-0.0802,44.2553,-0.0055,0.0008,-0.0064,0.3248,72499253.6,1.0394
2024-04-18,0.903,0.906,0.921,0.886,85751219.0,0.0,0.0284,-0.0811,52.5253,-0.005,-0.0003,-0.0046,0.3247,76783037.4,1.1168
2024-04-19,0.899,0.885,0.9,0.871,71421600.0,-0.0232,-0.0156,-0.1006,40.4145,-0.0061,-0.0015,-0.0046,0.3315,74348697.4,0.9606
2024-04-22,0.876,0.866,0.876,0.84,73565119.0,-0.0215,-0.0399,-0.1109,35.5769,-0.0085,-0.0029,-0.0056,0.3362,76909041.2,0.9565
2024-04-23,0.872,0.866,0.88,0.861,68233900.0,0.0,-0.0092,-0.11,29.1005,-0.0103,-0.0044,-0.0059,0.3364,74864834.4,0.9114
2024-04-24,0.872,0.898,0.9,0.866,85636100.0,0.037,-0.0088,-0.0487,42.6471,-0.009,-0.0053,-0.0037,0.3556,76921587.6,1.1133
2024-04-25,0.894,0.895,0.906,0.89,45120600.0,-0.0033,-0.0121,-0.0407,46.0317,-0.0081,-0.0059,-0.0022,0.3539,68795463.8,0.6559
2024-04-26,0.905,0.937,0.939,0.904,166260500.0,0.0469,0.0588,0.0458,56.8282,-0.004,-0.0055,0.0015,0.3645,87763243.8,1.8944
2024-04-29,0.942,0.961,0.963,0.941,123247300.0,0.0256,0.1097,0.0423,61.2,0.0012,-0.0041,0.0054,0.3614,97699680.0,1.2615
2024-04-30,0.961,0.954,0.969,0.951,69060200.0,-0.0073,0.1016,0.0302,66.2338,0.0047,-0.0024,0.0071,0.3629,97864940.0,0.7057
2024-05-06,0.972,0.965,0.976,0.962,85806500.0,0.0115,0.0746,0.0212,67.5,0.0083,-0.0002,0.0085,0.3581,97899020.0,0.8765
2024-05-07,0.966,0.96,0.977,0.951,80716500.0,-0.0052,0.0726,0.0345,63.4361,0.0106,0.0019,0.0087,0.3518,105018200.0,0.7686
2024-05-08,0.952,0.938,0.959,0.936,62445300.0,-0.0229,0.0011,0.0308,57.3171,0.0105,0.0036,0.0069,0.3548,84255160.0,0.7411
2024-05-09,0.935,0.944,0.945,0.933,63614100.0,0.0064,-0.0177,0.0419,65.625,0.0108,0.0051,0.0057,0.3544,72328520.0,0.8795
2024-05-10,0.943,0.931,0.943,0.923,71520400.0,-0.0138,-0.0241,0.0287,56.0976,0.0099,0.006,0.0038,0.3589,72820560.0,0.9821
2024-05-13,0.93,0.936,0.946,0.925,81302500.0,0.0054,-0.0301,0.0648,57.1429,0.0094,0.0067,0.0027,0.3405,71919760.0,1.1305
2024-05-14,0.938,0.935,0.952,0.929,89933400.0,-0.0011,-0.026,0.0613,63.1579,0.0089,0.0072,0.0018,0.3409,73763140.0,1.2192
