date,open,close,high,low,vol,amt,amp,pct,chg,turnover,ret_1d,ret_5d,ret_20d,rsi_14,macd,macd_signal,macd_hist,vol_20d,vol_sma_5,vol_ratio
2024-03-21,104.181,104.2,104.205,104.144,54532,568139431.9,0.06,0.02,0.02,25.31,0.0002,0.0022,0.0027,64.5412,0.048,0.0395,0.0084,0.0091,138055.0,0.395
2024-03-22,104.201,104.22,104.261,104.201,60042,625887392.8,0.06,0.02,0.02,27.87,0.0002,0.0019,0.002,64.6512,0.0531,0.0423,0.0108,0.0087,116683.8,0.5146
2024-03-25,104.219,104.216,104.236,104.206,45286,471979030.1,0.03,0.0,-0.004,21.02,-0.0,0.001,0.0018,61.2688,0.0562,0.045,0.0111,0.0087,112249.4,0.4034
2024-03-26,104.242,104.227,104.242,104.167,164038,1709563615.5,0.07,0.01,0.011,76.15,0.0001,0.0002,0.0018,58.2734,0.0588,0.0478,0.011,0.0087,106539.4,1.5397
2024-03-27,104.23,104.33,104.331,104.23,70023,730279226.25,0.1,0.1,0.103,32.51,0.001,0.0014,0.0026,62.5806,0.0684,0.0519,0.0165,0.0093,78784.2,0.8888
2024-03-28,104.33,104.365,104.404,104.33,90191,941403443.0,0.07,0.03,0.035,41.87,0.0003,0.0016,0.0022,64.4717,0.078,0.0571,0.0208,0.009,85916.0,1.0498
2024-03-29,104.4,104.405,104.405,104.324,119098,1243156136.35,0.08,0.04,0.04,55.29,0.0004,0.0018,0.0038,69.2192,0.0878,0.0633,0.0245,0.0077,97727.2,1.2187
2024-04-01,104.402,104.358,104.402,104.352,169023,1763863339.1,0.05,-0.05,-0.047,78.46,-0.0005,0.0014,0.0031,74.1158,0.0907,0.0687,0.0219,0.008,122474.6,1.3801
2024-04-02,104.357,104.402,104.402,104.357,122880,1282796873.4,0.04,0.04,0.044,57.04,0.0004,0.0017,0.0031,85.3041,0.0954,0.0741,0.0214,0.008,114243.0,1.0756
2024-04-03,104.425,104.497,104.5,104.425,145165,1516648420.65,0.07,0.09,0.095,67.39,0.0009,0.0016,0.0035,89.0208,0.1057,0.0804,0.0253,0.0083,129271.4,1.1229
2024-04-08,104.497,104.557,104.577,104.451,172398,1801982860.7,0.12,0.06,0.06,80.03,0.0006,0.0018,0.0037,89.2128,0.1173,0.0878,0.0295,0.0084,145712.8,1.1831
2024-04-09,104.585,104.622,104.629,104.557,142733,1493121756.2,0.07,0.06,0.065,66.26,0.0006,0.0021,0.0043,88.7538,0.1302,0.0962,0.0339,0.0085,150439.8,0.9488
2024-04-10,104.596,104.619,104.625,104.552,63268,661706016.2,0.07,0.0,-0.003,29.37,-0.0,0.0025,0.0045,86.4912,0.1386,0.1047,0.0339,0.0084,129288.8,0.4894
2024-04-11,104.619,104.65,104.666,104.618,145749,1525343563.2,0.05,0.03,0.031,67.66,0.0003,0.0024,0.0057,90.6574,0.1461,0.113,0.0331,0.0073,133862.6,1.0888
2024-04-12,104.652,104.723,104.733,104.652,55171,577781291.6,0.08,0.07,0.073,25.61,0.0007,0.0022,0.0071,91.4422,0.1561,0.1216,0.0345,0.0065,115863.8,0.4762
2024-04-15,104.723,104.693,104.772,104.693,40946,428774485.3,0.08,-0.03,-0.03,19.01,-0.0003,0.0013,0.0069,86.8955,0.1598,0.1292,0.0305,0.0066,89573.4,0.4571
2024-04-16,104.693,104.655,104.703,104.623,58261,609656626.3,0.08,-0.04,-0.038,27.05,-0.0004,0.0003,0.0061,82.5185,0.1578,0.135,0.0228,0.0071,72679.0,0.8016
2024-04-17,104.605,104.642,104.674,104.599,64109,670902295.8,0.07,-0.01,-0.013,29.76,-0.0001,0.0002,0.0051,80.6499,0.1534,0.1386,0.0148,0.0069,72847.2,0.88
2024-04-18,104.648,104.722,104.722,104.642,63469,664338440.02,0.08,0.08,0.08,29.46,0.0008,0.0007,0.005,79.9694,0.1546,0.1418,0.0128,0.0068,56391.2,1.1255
2024-04-19,104.732,104.753,104.756,104.725,48323,506136123.9,0.03,0.03,0.031,22.43,0.0003,0.0003,0.0055,79.8462,0.1563,0.1447,0.0115,0.0065,55021.6,0.8783
2024-04-22,104.779,104.815,104.816,104.76,200132,2097416004.2,0.05,0.06,0.062,92.9,0.0006,0.0012,0.0059,80.506,0.1607,0.1479,0.0128,0.0066,86858.8,2.3041
2024-04-23,104.821,104.888,104.889,104.821,40708,426917310.55,0.06,0.07,0.073,18.9,0.0007,0.0022,0.0064,87.9656,0.1682,0.152,0.0162,0.0068,83348.2,0.4884
2024-04-24,104.868,104.8,104.868,104.8,74773,783794812.455,0.06,-0.08,-0.088,34.71,-0.0008,0.0015,0.0056,76.8194,0.1651,0.1546,0.0105,0.0078,85481.0,0.8747
2024-04-25,104.819,104.816,104.822,104.766,72271,757451059.0,0.05,0.02,0.016,33.55,0.0002,0.0009,0.0057,74.0573,0.1621,0.1561,0.006,0.0078,87241.4,0.8284
2024-04-26,104.817,104.694,104.853,104.685,199834,2094536298.28,0.16,-0.12,-0.122,92.77,-0.0012,-0.0006,0.0035,59.4483,0.1482,0.1545,-0.0063,0.0089,117543.6,1.7001
2024-04-29,104.68,104.388,104.68,104.309,26193,273423480.8,0.35,-0.29,-0.306,12.16,-0.0029,-0.0041,0.0002,37.8882,0.1112,0.1459,-0.0347,0.0141,82755.8,0.3165
2024-04-30,104.789,104.647,104.789,104.468,138168,1444945617.337,0.31,0.25,0.259,64.14,0.0025,-0.0023,0.0023,51.1457,0.1016,0.137,-0.0354,0.0166,102247.8,1.3513
2024-05-06,104.67,104.795,104.809,104.644,43641,457083750.718,0.16,0.14,0.148,20.26,0.0014,-0.0,0.0042,55.4145,0.1047,0.1305,-0.0259,0.0171,96021.4,0.4545
2024-05-07,104.795,104.885,104.902,104.795,101697,1066604854.7,0.1,0.09,0.09,47.21,0.0009,0.0007,0.0046,55.9735,0.1131,0.1271,-0.0139,0.0172,101906.6,0.9979
2024-05-08,104.89,104.865,104.89,104.846,125680,1318066920.4,0.04,-0.02,-0.02,58.34,-0.0002,0.0016,0.0035,56.3893,0.1168,0.125,-0.0082,0.0171,87075.8,1.4433
2024-05-09,104.816,104.819,104.848,104.811,140858,1476727449.4,0.04,-0.04,-0.046,65.39,-0.0004,0.0041,0.0025,56.0561,0.1147,0.123,-0.0082,0.0171,110008.8,1.2804
2024-05-10,104.819,104.803,104.846,104.798,38699,405618366.93,0.05,-0.02,-0.016,17.96,-0.0002,0.0015,0.0017,55.9322,0.1105,0.1205,-0.0099,0.0171,90115.0,0.4294
2024-05-13,104.806,104.898,104.899,104.806,104909,1100316493.3,0.09,0.09,0.095,48.7,0.0009,0.001,0.0027,56.414,0.1135,0.1191,-0.0055,0.0173,102368.6,1.0248
2024-05-14,104.903,104.945,104.958,104.903,103175,1082749790.9,0.05,0.04,0.047,47.9,0.0004,0.0006,0.0028,56.9164,0.1184,0.1189,-0.0006,0.0173,102664.2,1.005
2024-05-15,104.945,104.927,104.957,104.919,74461,781415545.15,0.04,-0.02,-0.018,34.57,-0.0002,0.0006,0.0019,54.1667,0.1193,0.119,0.0003,0.0172,92420.4,0.8057
2024-05-16,104.935,104.929,104.95,104.912,67516,708421192.49,0.04,0.0,0.002,31.34,0.0,0.001,0.0023,51.6104,0.1189,0.119,-0.0001,0.0172,77752.0,0.8684
2024-05-17,104.915,104.917,104.927,104.895,40252,422293701.0,0.03,-0.01,-0.012,18.69,-0.0001,0.0011,0.0025,54.8872,0.1163,0.1185,-0.0022,0.0171,78062.6,0.5156
2024-05-20,104.943,104.984,104.991,104.943,38403,403166110.1,0.05,0.06,0.067,17.83,0.0006,0.0008,0.0033,56.7308,0.1182,0.1184,-0.0002,0.0172,64761.4,0.593
2024-05-21,104.956,104.97,104.994,104.953,41422,434773541.82,0.04,-0.01,-0.014,19.23,-0.0001,0.0002,0.0024,62.1053,0.1173,0.1182,-0.0009,0.017,52410.8,0.7903
2024-05-22,104.969,104.986,104.995,104.969,44777,470101652.7,0.02,0.02,0.016,20.79,0.0002,0.0006,0.0022,85.1765,0.1165,0.1178,-0.0014,0.017,46474.0,0.9635
2024-05-23,105.0,105.046,105.048,105.0,34642,363884119.4,0.05,0.06,0.06,16.08,0.0006,0.0011,0.0022,80.6452,0.1193,0.1181,0.0012,0.017,39899.2,0.8682
2024-05-24,105.05,105.055,105.064,105.042,56686,595485793.9,0.02,0.01,0.009,26.31,0.0001,0.0013,0.0016,75.3906,0.1209,0.1187,0.0022,0.0169,43186.0,1.3126
2024-05-27,105.052,105.039,105.052,105.006,90580,951327181.05,0.04,-0.02,-0.016,42.05,-0.0002,0.0005,0.0023,67.5799,0.1195,0.1189,0.0006,0.0166,53621.4,1.6893
2024-05-28,105.039,105.073,105.078,105.039,51195,537886206.53,0.04,0.03,0.034,23.77,0.0003,0.001,0.0025,73.0088,0.1197,0.119,0.0007,0.0166,55576.0,0.9212
2024-05-29,105.074,105.107,105.108,105.074,38766,407422683.4,0.03,0.03,0.034,18.0,0.0003,0.0012,0.0039,82.7273,0.1213,0.1195,0.0018,0.0159,54373.8,0.713
2024-05-30,105.105,105.121,105.124,105.09,48434,509091153.1,0.03,0.01,0.014,22.48,0.0001,0.0007,0.007,86.3014,0.1222,0.12,0.0022,0.0108,57132.2,0.8478
2024-05-31,105.11,105.121,105.125,105.071,58356,613397864.4,0.05,0.0,0.0,27.09,0.0,0.0006,0.0045,82.5073,0.1215,0.1203,0.0012,0.0073,57466.2,1.0155
2024-06-03,105.12,105.192,105.205,105.099,59850,629455334.6,0.1,0.07,0.071,27.78,0.0007,0.0015,0.0038,83.6512,0.1253,0.1213,0.004,0.0061,51320.2,1.1662
2024-06-04,105.193,105.199,105.204,105.193,77980,820318562.6,0.01,0.01,0.007,36.2,0.0001,0.0012,0.003,88.2022,0.1274,0.1225,0.0049,0.0056,56677.2,1.3759
2024-06-05,105.199,105.251,105.252,105.199,36207,381044800.4,0.05,0.05,0.052,16.81,0.0005,0.0014,0.0037,89.6552,0.1317,0.1244,0.0073,0.0056,56165.4,0.6446
2024-06-06,105.255,105.247,105.277,105.243,13138,138285784.4,0.03,0.0,-0.004,6.1,-0.0,0.0012,0.0041,91.4573,0.1333,0.1262,0.0071,0.0051,49106.2,0.2675
2024-06-07,105.273,105.294,105.295,105.267,63429,667724175.6,0.03,0.04,0.047,29.44,0.0004,0.0016,0.0047,91.0053,0.1367,0.1283,0.0085,0.005,50120.8,1.2655
2024-06-11,105.294,105.308,105.344,105.25,26115,275004231.9,0.09,0.01,0.014,12.12,0.0001,0.0011,0.0039,94.709,0.139,0.1304,0.0086,0.0044,43373.8,0.6021
2024-06-12,105.307,105.296,105.31,105.286,19212,202303226.4,0.02,-0.01,-0.012,8.92,-0.0001,0.0009,0.0033,91.4439,0.1382,0.132,0.0063,0.0044,31620.2,0.6076
2024-06-13,105.297,105.276,105.303,105.267,26597,280005302.7,0.03,-0.02,-0.02,12.35,-0.0002,0.0002,0.0033,84.4311,0.1345,0.1325,0.002,0.0044,29698.2,0.8956
2024-06-14,105.295,105.287,105.309,105.281,50380,530457810.759,0.03,0.01,0.011,23.39,0.0001,0.0004,0.0034,84.5238,0.1309,0.1322,-0.0013,0.0044,37146.6,1.3562
