date,open,close,high,low,vol,amt,amp,pct,chg,turnover,ret_1d,ret_5d,ret_20d,rsi_14,macd,macd_signal,macd_hist,vol_20d,vol_sma_5,vol_ratio
2024-04-23,133.694,133.873,133.875,133.689,29838.0,405530649.0,0.14,0.14,0.19,11.95,0.0014,0.0037,0.0087,92.8293,0.2907,0.2399,0.0508,0.0098,39023.6,0.7646
2024-04-24,133.681,133.514,133.873,133.464,34713.0,471142568.0,0.31,-0.27,-0.359,13.9,-0.0027,0.0008,0.0065,71.7064,0.2752,0.247,0.0283,0.0145,39140.6,0.8869
2024-04-25,133.522,133.609,133.678,133.522,31794.0,431549647.0,0.12,0.07,0.095,12.73,0.0007,0.0007,0.0074,70.9407,0.2676,0.2511,0.0165,0.0145,39209.2,0.8109
2024-04-26,133.661,133.385,133.736,133.376,28061.0,380788172.0,0.27,-0.17,-0.224,11.24,-0.0017,-0.0016,0.0053,58.0485,0.2407,0.249,-0.0083,0.0162,31022.8,0.9045
2024-04-29,133.521,132.825,133.521,132.408,10692.0,144190462.0,0.83,-0.42,-0.56,4.28,-0.0042,-0.0064,0.0012,39.5793,0.1722,0.2337,-0.0615,0.0227,27019.6,0.3957
2024-04-30,132.966,133.208,133.236,132.966,36085.0,488135623.0,0.2,0.29,0.383,14.45,0.0029,-0.005,0.0029,48.8189,0.1471,0.2164,-0.0692,0.0245,28269.0,1.2765
2024-05-06,133.213,133.421,133.421,132.954,18296.0,247889785.0,0.35,0.16,0.213,7.33,0.0016,-0.0007,0.0049,52.5183,0.1428,0.2016,-0.0588,0.025,24985.6,0.7323
2024-05-07,133.538,133.587,133.691,133.441,29758.0,403983601.0,0.19,0.12,0.166,11.91,0.0012,-0.0002,0.0058,52.3534,0.151,0.1915,-0.0405,0.0252,24578.4,1.2107
2024-05-08,133.587,133.611,133.63,133.575,28353.0,384760094.0,0.04,0.02,0.024,11.35,0.0002,0.0017,0.0049,53.1767,0.1577,0.1847,-0.0271,0.0251,24636.8,1.1508
2024-05-09,133.546,133.492,133.556,133.455,41169.0,558285771.0,0.08,-0.09,-0.119,16.48,-0.0009,0.005,0.0027,52.2512,0.1516,0.1781,-0.0265,0.0251,30732.2,1.3396
2024-05-10,133.484,133.468,133.52,133.45,29335.0,397753233.0,0.05,-0.02,-0.024,11.74,-0.0002,0.002,0.0016,51.1398,0.1431,0.1711,-0.028,0.0249,29382.2,0.9984
2024-05-13,133.508,133.612,133.615,133.496,27803.0,377206359.0,0.09,0.11,0.144,11.13,0.0011,0.0014,0.0026,51.8352,0.1464,0.1662,-0.0198,0.0252,31283.6,0.8887
2024-05-14,133.645,133.687,133.722,133.617,38968.0,529176557.0,0.08,0.06,0.075,15.6,0.0006,0.0007,0.003,51.5995,0.1533,0.1636,-0.0103,0.0252,33125.6,1.1764
2024-05-15,133.693,133.686,133.747,133.627,34142.0,463696607.0,0.09,0.0,-0.001,13.67,-0.0,0.0006,0.0017,50.0582,0.1568,0.1622,-0.0054,0.0249,34283.4,0.9959
2024-05-16,133.674,133.622,133.674,133.552,33005.0,447901104.0,0.09,-0.05,-0.064,13.21,-0.0005,0.001,0.0013,44.8796,0.1527,0.1603,-0.0076,0.0249,32650.6,1.0109
2024-05-17,133.524,133.523,133.606,133.423,38343.0,520056659.0,0.14,-0.07,-0.099,15.35,-0.0007,0.0004,0.0011,50.2054,0.1399,0.1563,-0.0164,0.025,34452.2,1.1129
2024-05-20,133.598,133.685,133.686,133.526,33931.0,460591794.0,0.12,0.12,0.162,13.59,0.0012,0.0005,0.0021,51.6829,0.1411,0.1532,-0.0121,0.0253,35677.8,0.951
2024-05-21,133.693,133.615,133.693,133.594,32296.0,438365632.0,0.07,-0.05,-0.07,12.93,-0.0005,-0.0005,0.0008,55.4658,0.1349,0.1496,-0.0146,0.0253,34343.4,0.9404
2024-05-22,133.628,133.673,133.676,133.618,33810.0,459043440.0,0.04,0.04,0.058,13.54,0.0004,-0.0001,0.0005,76.4669,0.1332,0.1463,-0.0131,0.0252,34277.0,0.9864
2024-05-23,133.706,133.767,133.774,133.706,34495.0,468626305.0,0.05,0.07,0.094,13.81,0.0007,0.0011,0.0006,71.2871,0.1377,0.1446,-0.0068,0.0253,34575.0,0.9977
2024-05-24,133.795,133.77,133.802,133.734,32052.0,435493170.0,0.05,0.0,0.003,12.83,0.0,0.0018,-0.0008,65.8205,0.14,0.1437,-0.0037,0.0247,33316.8,0.962
