date,open,close,high,low,vol,ret_1d,ret_5d,ret_20d,rsi_14,macd,macd_signal,macd_hist,vol_20d,vol_sma_5,vol_ratio
2025-02-07,1.067,1.076,1.093,1.059,60668140.0,0.0084,0.0539,0.0664,69.3989,0.011,0.0059,0.0051,0.2523,46655267.0,1.3003
2025-02-10,1.077,1.094,1.095,1.074,46651541.0,0.0167,0.0632,0.1017,72.1393,0.0148,0.0076,0.0071,0.2459,49711636.8,0.9384
2025-02-11,1.093,1.08,1.095,1.075,36157618.0,-0.0128,0.0704,0.092,61.7486,0.0164,0.0094,0.007,0.252,50227296.4,0.7199
2025-02-12,1.082,1.099,1.1,1.077,42498385.0,0.0176,0.0598,0.0796,67.0051,0.0191,0.0113,0.0077,0.2398,47609797.2,0.8926
2025-02-13,1.099,1.073,1.1,1.072,39473530.0,-0.0237,0.0056,0.0551,65.3465,0.0188,0.0128,0.006,0.2588,45089842.8,0.8754
2025-02-14,1.068,1.078,1.081,1.064,37548489.0,0.0047,0.0019,0.0621,64.6465,0.0189,0.014,0.0048,0.2582,40465912.6,0.9279
2025-02-17,1.085,1.093,1.096,1.083,42060727.0,0.0139,-0.0009,0.0876,66.8246,0.0198,0.0152,0.0046,0.2561,39547749.8,1.0635
2025-02-18,1.092,1.066,1.093,1.062,41929771.0,-0.0247,-0.013,0.0607,57.6419,0.0182,0.0158,0.0024,0.2759,40702180.4,1.0302
2025-02-19,1.066,1.092,1.092,1.065,46508790.0,0.0244,-0.0064,0.053,62.4506,0.0188,0.0164,0.0024,0.2667,41504261.4,1.1206
2025-02-20,1.091,1.091,1.099,1.083,30365180.0,-0.0009,0.0168,0.0572,64.2276,0.019,0.0169,0.0021,0.2656,39682591.4,0.7652
2025-02-21,1.099,1.157,1.159,1.096,92072132.0,0.0605,0.0733,0.1444,71.0526,0.0242,0.0184,0.0058,0.321,50587320.0,1.8201
2025-02-24,1.155,1.161,1.171,1.143,49580417.0,0.0035,0.0622,0.1382,76.3889,0.0283,0.0204,0.0079,0.3211,52091258.0,0.9518
2025-02-25,1.141,1.162,1.179,1.138,46716898.0,0.0009,0.0901,0.137,73.9464,0.0313,0.0226,0.0087,0.3214,53048683.4,0.8806
