date,open,close,high,low,vol,amt,amp,pct,chg,turnover
2024-02-22,132.181,132.239,132.253,132.127,26980.0,362284554.0,0.1,0.04,0.058,10.8
2024-02-23,132.376,132.405,132.474,132.283,36790.0,494736824.0,0.14,0.13,0.166,14.73
2024-02-26,132.395,132.417,132.462,132.306,25915.0,348596463.0,0.12,0.01,0.012,10.38
2024-02-27,132.447,132.455,132.508,132.424,28539.0,384026914.0,0.06,0.03,0.038,11.43
2024-02-28,132.421,132.466,132.493,132.394,25255.0,339736624.0,0.07,0.01,0.011,10.11
2024-02-29,132.477,132.517,132.535,132.476,54219.0,729932059.0,0.04,0.04,0.051,21.71
2024-03-01,132.496,132.436,132.52,132.426,52223.0,702672881.0,0.07,-0.06,-0.081,20.91
2024-03-04,132.403,132.441,132.462,132.321,43927.0,591032483.0,0.11,0.0,0.005,17.59
2024-03-05,132.423,132.446,132.474,132.397,41925.0,564130439.0,0.06,0.0,0.005,16.79
2024-03-06,132.536,132.626,132.63,132.476,37172.0,500761277.0,0.12,0.14,0.18,14.88
2024-03-07,132.851,132.742,132.851,132.638,37630.0,507391105.0,0.16,0.09,0.116,15.07
2024-03-08,132.74,132.689,132.769,132.616,43724.0,589453577.0,0.12,-0.04,-0.053,17.51
2024-03-11,132.592,132.604,132.688,132.567,42286.0,569558883.0,0.09,-0.06,-0.085,16.93
2024-03-12,132.504,132.477,132.556,132.404,41780.0,562296870.0,0.11,-0.1,-0.127,16.73
2024-03-13,132.365,132.44,132.451,132.27,39384.0,529420557.0,0.14,-0.03,-0.037,15.77
2024-03-14,132.409,132.367,132.409,132.309,34673.0,466290866.0,0.08,-0.06,-0.073,13.88
2024-03-15,132.395,132.45,132.499,132.388,41887.0,563565878.0,0.08,0.06,0.083,16.77
2024-03-18,132.44,132.573,132.576,132.43,41509.0,558782778.0,0.11,0.09,0.123,16.62
2024-03-19,132.576,132.679,132.688,132.576,34378.0,463246829.0,0.08,0.08,0.106,13.76
2024-03-20,132.673,132.655,132.69,132.63,67407.0,908402705.0,0.05,-0.02,-0.024,26.99
2024-03-21,132.605,132.679,132.687,132.52,35896.0,483576756.0,0.13,0.02,0.024,14.37
2024-03-22,132.736,132.712,132.796,132.679,38493.0,518969632.0,0.09,0.02,0.033,15.41
2024-03-25,132.576,132.648,132.672,132.554,41118.0,553835634.0,0.09,-0.05,-0.064,16.46
2024-03-26,132.601,132.633,132.64,132.594,31516.0,424598115.0,0.03,-0.01,-0.015,12.62
2024-03-27,132.628,132.687,132.708,132.617,40304.0,543158055.0,0.07,0.04,0.054,16.14
2024-03-28,132.744,132.671,132.744,132.652,2827.0,38109293.0,0.07,-0.01,-0.016,1.13
2024-03-29,132.703,132.819,132.829,132.675,40632.0,548002566.0,0.12,0.11,0.148,16.27
2024-04-01,132.821,132.774,132.822,132.712,30373.0,409613209.0,0.08,-0.03,-0.045,12.16
2024-04-02,132.774,132.822,132.826,132.774,37738.0,509095249.0,0.04,0.04,0.048,15.11
2024-04-03,132.872,132.959,132.966,132.864,34318.0,463414435.0,0.08,0.1,0.137,13.74
2024-04-08,132.959,133.126,133.154,132.948,31544.0,426404639.0,0.15,0.13,0.167,12.63
2024-04-09,133.126,133.251,133.269,133.078,41409.0,560376532.0,0.14,0.09,0.125,16.58
2024-04-10,133.183,133.265,133.296,133.154,52895.0,715854808.0,0.11,0.01,0.014,21.18
2024-04-11,133.266,133.29,133.353,133.264,39365.0,533063942.0,0.07,0.02,0.025,15.76
2024-04-12,133.333,133.465,133.495,133.333,39987.0,541980870.0,0.12,0.13,0.175,16.01
2024-04-15,133.471,133.446,133.541,133.438,30803.0,417584221.0,0.08,-0.01,-0.019,12.33
