date,open,close,high,low,vol,amt,amp,pct,chg,turnover
2024-05-16,104.935,104.929,104.95,104.912,67516,708421192.490,0.04,0.0,0.002,31.34
2024-05-17,104.915,104.917,104.927,104.895,40252,422293701.000,0.03,-0.01,-0.012,18.69
2024-05-20,104.943,104.984,104.991,104.943,38403,403166110.100,0.05,0.06,0.067,17.83
2024-05-21,104.956,104.97,104.994,104.953,41422,434773541.820,0.04,-0.01,-0.014,19.23
2024-05-22,104.969,104.986,104.995,104.969,44777,470101652.700,0.02,0.02,0.016,20.79
2024-05-23,105.0,105.046,105.048,105.0,34642,363884119.400,0.05,0.06,0.060,16.08
2024-05-24,105.05,105.055,105.064,105.042,56686,595485793.900,0.02,0.01,0.009,26.31
2024-05-27,105.052,105.039,105.052,105.006,90580,951327181.050,0.04,-0.02,-0.016,42.05
2024-05-28,105.039,105.073,105.078,105.039,51195,537886206.530,0.04,0.03,0.034,23.77
2024-05-29,105.074,105.107,105.108,105.074,38766,407422683.400,0.03,0.03,0.034,18.00
2024-05-30,105.105,105.121,105.124,105.09,48434,509091153.100,0.03,0.01,0.014,22.48
2024-05-31,105.11,105.121,105.125,105.071,58356,613397864.400,0.05,0.0,0.000,27.09
2024-06-03,105.12,105.192,105.205,105.099,59850,629455334.600,0.10,0.07,0.071,27.78
2024-06-04,105.193,105.199,105.204,105.193,77980,820318562.600,0.01,0.01,0.007,36.20
2024-06-05,105.199,105.251,105.252,105.199,36207,381044800.400,0.05,0.05,0.052,16.81
2024-06-06,105.255,105.247,105.277,105.243,13138,138285784.400,0.03,0.0,-0.004,6.10
2024-06-07,105.273,105.294,105.295,105.267,63429,667724175.600,0.03,0.04,0.047,29.44
2024-06-11,105.294,105.308,105.344,105.25,26115,275004231.900,0.09,0.01,0.014,12.12
2024-06-12,105.307,105.296,105.31,105.286,19212,202303226.400,0.02,-0.01,-0.012,8.92
2024-06-13,105.297,105.276,105.303,105.267,26597,280005302.700,0.03,-0.02,-0.020,12.35
2024-06-14,105.295,105.287,105.309,105.281,50380,530457810.759,0.03,0.01,0.011,23.39
2024-06-17,105.315,105.3,105.315,105.294,101863,1072617569.200,0.02,0.01,0.013,47.29
2024-06-18,105.299,105.326,105.331,105.29,67564,711569012.400,0.04,0.02,0.026,31.36
2024-06-19,105.321,105.372,105.38,105.32,63984,674057501.800,0.06,0.04,0.046,29.70
2024-06-20,105.384,105.389,105.399,105.376,26278,276938605.500,0.02,0.02,0.017,12.20
2024-06-21,105.389,105.364,105.389,105.358,62685,660515257.920,0.03,-0.02,-0.025,29.10
2024-06-24,105.359,105.413,105.413,105.359,81685,860859116.800,0.05,0.05,0.049,37.92
2024-06-25,105.414,105.472,105.478,105.414,78962,832763227.000,0.06,0.06,0.059,36.66
2024-06-26,105.478,105.509,105.533,105.478,35815,377921259.960,0.05,0.04,0.037,16.63
2024-06-27,105.512,105.576,105.583,105.512,73088,771552545.300,0.07,0.06,0.067,33.93
2024-06-28,105.607,105.597,105.615,105.582,37709,398182800.500,0.03,0.02,0.021,17.50
2024-07-01,105.594,105.53,105.615,105.505,116538,1230705156.700,0.10,-0.06,-0.067,54.10
2024-07-02,105.48,105.587,105.588,105.479,63883,674302160.600,0.10,0.05,0.057,29.66
2024-07-03,105.6,105.629,105.634,105.576,24351,257181110.600,0.05,0.04,0.042,11.30
2024-07-04,105.629,105.645,105.647,105.609,42177,445557556.200,0.04,0.02,0.016,19.58
2024-07-05,105.645,105.578,105.645,105.556,72130,761599370.000,0.08,-0.06,-0.067,33.48
2024-07-08,105.573,105.487,105.573,105.429,29929,315693107.500,0.14,-0.09,-0.091,13.89
2024-07-09,105.495,105.575,105.58,105.492,42941,453345655.900,0.08,0.08,0.088,19.93
